"Name","City","Neighborhood","Delivery Min","Delivery Fee","Rating","Reviews"
"Giovani's Falafel Bar & Grill","philadelphia","callowhill","$10","","80","85"
"Best China Inn","philadelphia","callowhill","$10","$2","70","67"
"Fiesta Pizza","philadelphia","callowhill","$8","$2","70","47"
"Ever Green","philadelphia","callowhill","$10","$1","70","63"
"Lemon Grass Thai Restaurant","philadelphia","callowhill","$20","$2","70","175"
"U Penn Cafe","philadelphia","callowhill","$10","$2","70","28"
"Rich City Chinese Restaurant","philadelphia","callowhill","$10","$1","70","99"
"Aladdin Pizzeria & Eatery","philadelphia","callowhill","$8","$3","70","54"
"Thai Singha House","philadelphia","callowhill","$15","$2","70","61"
"Jake's Sandwich Board - 40th St.","philadelphia","callowhill","$10","$2.99","70","54"
"Desi Village Indian Cuisine","philadelphia","callowhill","$15","","70","96"
"goBrands Philadelphia","philadelphia","callowhill","$9","$1.95","70","51"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","callowhill","$10","$2","80","10"
"Pizzeria Cappelli","philadelphia","callowhill","$10","$2","70","48"
"Accu Pizza","philadelphia","callowhill","$12","$2","60","39"
"Mediterra Grill","philadelphia","callowhill","$6","$2","70","25"
"Italian Kitchen -  63rd Street","philadelphia","callowhill","$8","$2","70","11"
"Falafel Exotic Halal Cuisine","philadelphia","callowhill","$15","$2","70","27"
"Stacy's Pizza & Wings","philadelphia","callowhill","","$2","60","29"
"Zesto Pizza & Grill","philadelphia","carroll-park","$10","$3","80","82"
"Giovani's Falafel Bar & Grill","philadelphia","carroll-park","$10","","80","85"
"Indian Cuisine","philadelphia","carroll-park","$15","","80","86"
"Scoop Deville","philadelphia","carroll-park","$15","$2","80","323"
"Laxmi Indian Grille - Manayunk","philadelphia","carroll-park","$25","$1.5","80","157"
"Sakura","philadelphia","carroll-park","$10","$1","70","111"
"City Line Pizza","philadelphia","carroll-park","","$2","70","30"
"Lemon Grass Thai Restaurant","philadelphia","carroll-park","$20","$2","70","175"
"Laxmi's Indian Grille","philadelphia","carroll-park","$25","$1.5","70","62"
"Rich City Chinese Restaurant","philadelphia","carroll-park","$10","$1","70","99"
"New China","philadelphia","carroll-park","$11","$1.25","70","21"
"Totos Pizzeria","philadelphia","carroll-park","$10","$2","60","98"
"Thai Singha House","philadelphia","carroll-park","$15","$2","70","61"
"goBrands Philadelphia","philadelphia","carroll-park","$9","$1.95","70","51"
"2 in One Breakfast & Pizza","philadelphia","carroll-park","$10","$3","70","7"
"Tortas Pizza: Él Sabor de Mi Tierra","philadelphia","carroll-park","$10","$2","80","10"
"Pizzeria Cappelli","philadelphia","carroll-park","$10","$2","70","48"
"Mediterra Grill","philadelphia","carroll-park","$6","$2","70","25"
"Italian Kitchen -  63rd Street","philadelphia","carroll-park","$8","$2","70","11"
"Robola Pizza & Grill","philadelphia","carroll-park","$10","$2","60","18"
"Al-Sham Restaurant","philadelphia","castor","$10","$2","80","107"
"Suzani Restaurant","philadelphia","castor","$20","","80","46"
"Philly's Seafood","philadelphia","castor","$10","$2","80","17"
"Big Daddy Pizza","philadelphia","castor","$5","$1.5","70","31"
"Jean's Pizzeria & Grill","philadelphia","castor","$10","$1","70","18"
"Four Seasons Diner","philadelphia","castor","$5","$2","70","116"
"Mega Quality Pizza","philadelphia","castor","$10","$1","80","9"
"Fat Jack's BBQ - Philadelphia","philadelphia","castor","$15","$3","70","109"
"Best In Town Pizza","philadelphia","castor","$15","$2","70","23"
"Big Ben Pizza","philadelphia","castor","$10","$1.5","60","31"
"New London Pizza","philadelphia","castor","$15","$1.25","70","18"
"Original George's Burgers","philadelphia","castor","$10","$3","60","29"
"Dragon Phoenix House","philadelphia","castor","$15","$2.5","70","24"
"Amy's Pizzeria","philadelphia","castor","","$1.5","80","14"
"Drougie's Pizza & Restaurant","philadelphia","castor","$5","$1","50","54"
"Szechuan King","philadelphia","castor","$10","$1","70","11"
"Bellissima Pizza","philadelphia","castor","$8","$1","70","12"
"Happy Panda","philadelphia","castor","$10","$1","70","9"
"Mojo's Pizza & Chicken","philadelphia","castor","$10","$1.5","60","19"
